Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,"50,251,964","50,501,858",-0.49%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"41,232,432","39,636,042",4.03%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,"38,593,028","37,589,899",2.67%
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,"31,816,933","31,283,579",1.70%
5,NM,CO,DEN,Denver,Denver International,P,L,"29,809,097","28,267,394",5.45%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,"29,533,154","29,239,151",1.01%
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,"26,900,048","25,707,101",4.64%
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,"23,364,393","22,833,267",2.33%
9,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,"22,639,124","21,887,110",3.44%
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,"22,011,251","21,511,880",2.32%
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,"21,571,198","19,923,009",8.27%
12,SO,FL,MCO,Orlando,Orlando International,P,L,"21,565,448","20,283,541",6.32%
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"21,185,458","20,896,265",1.38%
14,SO,FL,MIA,Miami,Miami International,P,L,"20,709,225","20,875,813",-0.80%
15,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,"19,603,731","20,062,072",-2.28%
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,"18,759,742","17,759,044",5.63%
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,"18,409,704","18,123,844",1.58%
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,"17,036,092","16,847,135",1.12%
19,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,"15,817,043","14,263,270",10.89%
20,EA,NY,LGA,New York,Laguardia,P,L,"14,614,802","14,762,593",-1.00%
21,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,"14,271,243","14,564,419",-2.01%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,"12,976,554","12,340,972",5.15%
23,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,"11,615,954","11,143,738",4.24%
24,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,"11,506,310","11,470,854",0.31%
25,WP,CA,SAN,San Diego,San Diego International,P,L,"11,139,933","10,340,164",7.73%
26,EA,VA,IAD,Dulles,Washington Dulles International,P,L,"11,024,306","10,596,942",4.03%
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,"10,912,074","11,044,387",-1.20%
28,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,"9,743,989","9,656,340",0.91%
29,SO,FL,TPA,Tampa,Tampa International,P,L,"9,548,580","9,194,994",3.85%
30,NM,OR,PDX,Portland,Portland International,P,L,"9,435,473","9,071,154",4.02%
,,,30,,Large Hubs,,,,,4.02%
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,"7,593,361","7,554,596",0.51%
32,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,"7,194,745","6,793,076",5.91%
33,SO,TN,BNA,Nashville,Nashville International,P,M,"6,902,771","6,338,517",8.90%
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,"6,813,171","6,095,545",11.77%
35,SW,TX,HOU,Houston,William P Hobby,P,M,"6,538,976","6,285,181",4.04%
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"6,413,842","5,934,639",8.07%
37,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"6,130,878","5,321,603",15.21%
38,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,"6,022,318","5,569,705",8.13%
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,"5,692,659","5,401,714",5.39%
40,CE,MO,MCI,Kansas City,Kansas City International,P,M,"5,628,581","5,391,557",4.40%
41,WP,CA,SMF,Sacramento,Sacramento International,P,M,"5,341,595","4,969,366",7.49%
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"5,082,716","5,217,242",-2.58%
43,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,"4,446,555","4,083,476",8.89%
44,SW,TX,SAT,San Antonio,San Antonio International,P,M,"4,382,127","4,179,994",4.84%
45,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,"4,364,224","4,239,261",2.95%
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,"4,343,722","4,216,766",3.01%
47,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"4,327,434","3,986,114",8.56%
48,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,"4,203,766","4,343,354",-3.21%
49,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,"3,791,989","3,269,979",15.96%
50,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,"3,689,570","3,567,864",3.41%
51,WP,HI,OGG,Kahului,Kahului,P,M,"3,442,189","3,352,813",2.67%
52,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,414,477","3,327,536",2.61%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"3,164,647","2,982,194",6.12%
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"3,110,450","3,100,624",0.32%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,701,861","2,729,129",-1.00%
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,556,191","2,563,524",-0.29%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,412,328","2,341,719",3.02%
58,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,402,106","2,077,892",15.60%
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,348,512","2,313,724",1.50%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,247,645","2,104,625",6.80%
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,243,658","2,127,387",5.47%
,,,31,,Medium Hubs,,,,,5.47%
62,SO,TN,MEM,Memphis,Memphis International,P,S,"2,102,739","2,016,089",4.30%
63,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,953,028","1,771,864",10.22%
64,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,945,699","1,811,695",7.40%
65,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,940,806","1,803,000",7.64%
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,894,289","1,796,473",5.44%
67,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,830,745","1,386,357",32.05%
68,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,822,486","1,777,648",2.52%
69,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,777,642","1,633,507",8.82%
70,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,"1,764,995","1,569,602",12.45%
71,NM,WA,GEG,Spokane,Spokane International,P,S,"1,698,433","1,570,652",8.14%
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,694,329","1,602,631",5.72%
73,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,684,738","1,631,494",3.26%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,669,928","1,594,594",4.72%
75,WP,GU,GUM,Tamuning,Guam International,P,S,"1,566,429","1,444,299",8.46%
76,WP,HI,LIH,Lihue,Lihue,P,S,"1,535,075","1,458,940",5.22%
77,SW,TX,ELP,El Paso,El Paso International,P,S,"1,450,115","1,414,376",2.53%
78,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,434,990","1,341,699",6.95%
79,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,"1,412,132","1,334,979",5.78%
80,EA,NY,ALB,Albany,Albany International,P,S,"1,393,666","1,388,860",0.35%
81,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,374,424","1,342,315",2.39%
82,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,333,967","1,304,467",2.26%
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,257,521","1,216,357",3.38%
84,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,205,774","1,186,002",1.67%
85,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"1,192,340","1,056,265",12.88%
86,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"1,131,959","944,849",19.80%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"1,055,970","995,801",6.04%
88,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"1,051,089","991,276",6.03%
89,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"1,023,471","915,672",11.77%
90,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"1,013,149","988,496",2.49%
91,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"979,530","958,824",2.16%
92,NE,NH,MHT,Manchester,Manchester,P,S,"969,229","995,403",-2.63%
93,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"963,752","887,103",8.64%
94,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"943,363","903,155",4.45%
95,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"935,373","1,019,922",-8.29%
96,NE,ME,PWM,Portland,Portland International Jetport,P,S,"925,903","886,343",4.46%
